Name                                            Stmts   Miss  Cover
enhomie/hubitat/test/test_action.py                20      0   100%
enhomie/hubitat/test/test_device.py                25      0   100%
enhomie/hubitat/test/test_helpers.py               34      0   100%
enhomie/hubitat/test/test_models.py                 6      0   100%
enhomie/hubitat/test/test_origin.py                96      0   100%
enhomie/hubitat/test/test_update.py                14      0   100%
enhomie/hubitat/update.py                          14      0   100%
enhomie/philips/__init__.py                        12      0   100%
enhomie/philips/action.py                          35      0   100%
enhomie/philips/device.py                           6      0   100%
enhomie/philips/helpers.py                        205      0   100%
enhomie/philips/models.py                          43      0   100%
enhomie/philips/origin.py                         129      0   100%
enhomie/philips/params/__init__.py                  7      0   100%
enhomie/philips/params/origin.py                    9      0   100%
enhomie/philips/params/plugins/__init__.py          6      0   100%
enhomie/philips/params/plugins/button.py           11      0   100%
enhomie/philips/params/plugins/change.py           10      0   100%
enhomie/philips/params/plugins/contact.py           9      0   100%
enhomie/philips/params/plugins/motion.py            9      0   100%
enhomie/philips/params/plugins/scene.py            10      0   100%
enhomie/philips/plugins/__init__.py                 6      0   100%
enhomie/philips/plugins/button.py                  65      0   100%
enhomie/philips/plugins/change.py                  66      0   100%
enhomie/philips/plugins/contact.py                 62      0   100%
enhomie/philips/plugins/helpers.py                 40      0   100%
enhomie/philips/plugins/motion.py                  68      0   100%
enhomie/philips/plugins/scene.py                   67      0   100%
enhomie/philips/plugins/test/__init__.py            0      0   100%
enhomie/philips/plugins/test/test_button.py        66      0   100%
enhomie/philips/plugins/test/test_change.py        44      0   100%
enhomie/philips/plugins/test/test_contact.py       66      0   100%
enhomie/philips/plugins/test/test_helpers.py       34      0   100%
enhomie/philips/plugins/test/test_motion.py        66      0   100%
enhomie/philips/plugins/test/test_scene.py         66      0   100%
enhomie/philips/stream.py                          30      0   100%
enhomie/philips/surgeon.py                         81      0   100%
enhomie/philips/test/__init__.py                   28      0   100%
enhomie/philips/test/test_action.py                29      0   100%
enhomie/philips/test/test_device.py                25      0   100%
enhomie/philips/test/test_helpers.py               54      0   100%
enhomie/philips/test/test_models.py                12      0   100%
enhomie/philips/test/test_origin.py               130      0   100%
enhomie/philips/test/test_stream.py                46      0   100%
enhomie/philips/test/test_surgeon.py               32      0   100%
enhomie/philips/test/test_update.py                14      0   100%
